id,sector,industry_group,industry,sub_industry,description
40203030,Financials,Diversified Financials,Capital Markets,Diversified Capital Markets,"Financial institutions primarily engaged in diversified capital markets activities, including a significant presence in at least two of the following area: large/major corporate lending, investment banking, brokerage and asset management. Excludes less diversified companies classified in the Asset Management& Custody Banks or Investment Banking & Brokerage sub-industries.  Also excludes companies classified in the Banks or Insurance industry groups or the Consumer Finance Sub-Industry. "
40203040,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data,"Financial  exchanges  for  securities,  commodities,  derivatives and other financial instruments, and providers of financial decision support tools and products  including ratings agencies"
40204010,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,"Companies or Trusts that service, originate, purchase and/or securitize residential and/or commercial mortgage loans.  Includes trusts that invest in mortgage-backed securities and other mortgage related assets."
40301010,Financials,Insurance,Insurance,Insurance Brokers,Insurance and reinsurance brokerage firms.
40301020,Financials,Insurance,Insurance,Life & Health Insurance,"Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the Managed Health Care Sub-Industry."
40301030,Financials,Insurance,Insurance,Multi-line Insurance,"Insurance companies with diversified interests in life, health and property and casualty insurance."
40301040,Financials,Insurance,Insurance,Property & Casualty Insurance,Companies providing primarily property and casualty insurance.
40301050,Financials,Insurance,Insurance,Reinsurance,Companies providing primarily reinsurance.
45102010,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,Providers of information technology and systems integration services not classified in the Data Processing & Outsourced Services Sub-Industry.  Includes information technology consulting and information management services.
45102020,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,Providers of commercial electronic data processing and/or business process outsourcing services.  Includes companies that provide services for back-office automation.
45102030,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure,Companies providing services and infrastructure for the internet industry including data centers and cloud networking and storage infrastructure. Also includes companies providing web hosting services. Excludes companies classified in the Software Industry.
45103010,Information Technology,Software & Services,Software,Application Software,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
45103020,Information Technology,Software & Services,Software,Systems Software,Companies engaged in developing and producing systems and database management software.
45201020,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,"Manufacturers of communication equipment and products, including LANs, WANs, routers, telephones, switchboards and exchanges. Excludes cellular phone manufacturers classified in the Technology Hardware,Storage & Peripherals Sub-Industry."
45202030,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","Manufacturers of cellular phones, personal computers, servers, electronic computer components and peripherals. Includes data storage components, motherboards, audio and video cards, monitors, keyboards, printers, and other peripherals. Excludes semiconductors classified in the Semiconductors Sub-Industry."
45203010,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,"Manufacturers of electronic equipment and instruments including analytical, electronic test and measurement instruments, scanner/barcode products, lasers, display screens, point-of-sales machines, and security system equipment."
45203015,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,"Manufacturers of electronic components. Includes electronic components, connection devices, electron tubes, electronic capacitors and resistors, electronic coil, printed circuit board, transformer and other inductors, signal processing technology/components."
45203020,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Producers of electronic equipment mainly for the OEM (Original Equipment Manufacturers) markets.
45203030,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors,"Distributors of technology hardware and equipment. Includes distributors of communications equipment, computers & peripherals, semiconductors, and electronic equipment and components."
45301010,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,"Manufacturers of semiconductor equipment, including manufacturers of the raw material and equipment used in the solar power industry."
45301020,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,"Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells."
50101010,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,Providers of communications and high-density data transmission services primarily through a high bandwidth/fiber-optic cable network.
50101020,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Operators of primarily fixed-line telecommunications networks and companies providing both wireless and fixed-line telecommunicationsservices not classified elsewhere. Also includes internet service providers offering internet access to end users.
50102010,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,Providers of primarily cellular or wireless telecommunication services.
50201010,Communication Services,Media & Entertainment,Media,Advertising,"Companies providing advertising, marketing or public relations services."
50201020,Communication Services,Media & Entertainment,Media,Broadcasting,"Owners and operators of television or radio broadcasting systems, including programming. Includes radio and television broadcasting, radio networks, and radio stations."
50201030,Communication Services,Media & Entertainment,Media,Cable &Satellite,Providers of cable or satellite television services. Includes cable networks and program distribution.
50201040,Communication Services,Media & Entertainment,Media,Publishing,"Publishers of newspapers, magazines and books in print or electronic formats."
50202010,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,"Companies that engage in producing and selling entertainment products and services, including companies engaged in the production, distribution and screening of movies and television shows, producers and distributors of music, entertainment theaters and sports teams. Also includes companies offering and/or producing entertainment content streamed online."
50202020,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,"Producers of interactive gaming products, including mobile gaming applications. Also includes educational software used primarily in the home. Excludes online gambling companies classified in the Casinos & Gaming Sub-Industry."
50203010,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,"Companies engaging in content and information creation or distribution through proprietary platforms, where revenues are derived primarily through pay-per-click advertisements. Includes search engines, social media and networking platforms, online classifieds, and online review companies. Excludes companies operating online marketplaces classified in Internet & Direct Marketing Retail. "
55101010,Utilities,Utilities,Electric Utilities,Electric Utilities,Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
55102010,Utilities,Utilities,Gas Utilities,Gas Utilities,"Companies whose main charter is to distribute and transmit natural and manufactured gas. Excludes companies primarily involved in gas exploration or production classified in the Oil & Gas Exploration & Production Sub-Industry. Also excludes companies engaged in thestorage and/or transportation of oil, gas, and/or refined products classified in the Oil & Gas Storage & Transportation Sub-Industry."
55103010,Utilities,Utilities,Multi-Utilities,Multi-Utilities,"Utility companies with significantly diversified activities in addition to core Electric Utility, Gas Utility and/or Water Utility operations."
55104010,Utilities,Utilities,Water Utilities,Water Utilities,Companies that purchase and redistribute water to the end-consumer. Includes large-scale water treatment systems.
55105010,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,"Companies that operate as Independent Power Producers (IPPs), Gas & Power Marketing & Trading Specialists and/or Integrated Energy Merchants. Excludes producers of electricity using renewable sources, such as solar power, hydropower, and wind power. Also excludes electric transmission companies and utility distribution companies classified in the Electric Utilities Sub-Industry."
55105020,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity ,"Companies that engage in the generation and distribution of electricity using renewable sources, including, but not limited to, companies that produce electricity using biomass, geothermal energy, solar energy, hydropower, and wind power. Excludes companies manufacturing capital equipment used to generate electricity using renewable sources, such as manufacturers of solar power systems, installers of photovoltaic cells,  and companies involved in the provision of technology, components, and services mainly to this market. "
60101010,Real Estate,Real Estate,Diversified REITs,Diversified REITs,A company or Trust with significantly diversified operations across two or more property types.
60101020,Real Estate,Real Estate,Diversified REITs,Industrial REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of industrial properties. Includescompanies operating industrial warehouses and distribution properties."
60101030,Real Estate,Real Estate,Diversified REITs,Hotel & Resort REITs ,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of hotel and resort properties. "
60101040,Real Estate,Real Estate,Diversified REITs,Office REITs ,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of office properties."
60101050,Real Estate,Real Estate,Diversified REITs,Health Care REITs ,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties serving the health care industry, including hospitals, nursing homes, and assisted living properties."
60101060,Real Estate,Real Estate,Diversified REITs,Residential REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of residential properties including multifamily homes, apartments, manufactured homes and student housing properties"
60101070,Real Estate,Real Estate,Diversified REITs,Retail REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of shopping malls, outlet malls, neighborhood and community shopping centers."
60101080,Real Estate,Real Estate,Diversified REITs,Specialized REITs ,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties not classified elsewhere. Includes trusts that operate and invest in storage properties. It also includes REITs that do not generate a majority of their revenues and income from real estate rental and leasing operations."
60102010,Real Estate,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities ,"Companies engaged in a diverse spectrum of real estate activities including real estate development & sales, real estate management, or real estate services, but with no dominant business line."
60102020,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies,Companies engaged in operating real estate properties for the purpose of leasing & management.
60102030,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Development ,Companies that develop real estate and sell the properties after development. Excludes companies classified in the Homebuilding Sub-Industry.
60102040,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services ,"Real estate service providers such as real estate agents, brokers & real estate appraisers."
60102510,Real Estate,Real Estate,Industrial REITs,Industrial REITs,null
60103010,Real Estate,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,null
60104010,Real Estate,Real Estate,Office REITs,Office REITs,null
60105010,Real Estate,Real Estate,Health Care REITs,Health Care REITs,null
60106010,Real Estate,Real Estate,Residential REITs,Multi-Family Residential REITs,null
60106020,Real Estate,Real Estate,Residential REITs,Single-Family Residential REITs,null
60107010,Real Estate,Real Estate,Retail REITs,Retail REITs,null
60108010,Real Estate,Real Estate,Specialized REITs,Other Specialized REITs,null
60108020,Real Estate,Real Estate,Specialized REITs,Self-Storage REITs,null
60108030,Real Estate,Real Estate,Specialized REITs,Telecom Tower REITs,null
60108040,Real Estate,Real Estate,Specialized REITs,Timber REITs,null
60108050,Real Estate,Real Estate,Specialized REITs,Data Center REITs,null
60201010,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Diversified Real Estate Activities,null
60201020,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Operating Companies,null
60201030,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,null
60201040,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Services,null
